gamine,(เด็กหญิง) ซึ่งเล่นซุกซนแบบเด็กชาย,ADJ
lean,(เนื้อ) ไม่มีมัน,ADJ
yare,(เรือ) ขับง่าย,ADJ
uneven,(เลข) คี่,ADJ
even,(เลข) คู่,ADJ
gibbous,(เลนส์; กระจก) นูน,ADJ
vacant,(เวลา) ว่าง,ADJ
gruff,(เสียง) แหบ,ADJ
husky,(เสียง) แหบ,ADJ
gravelly,(เสียง) แหบและห้าว,ADJ
hoarse,(เสียง) แหบห้าว,ADJ
piercing,(เสียง) แหลมแสบแก้วหู,ADJ
resonant,(เสียง) ก้องกังวาน,ADJ
vociferous,(เสียง) ดัง,ADJ
ringing,(เสียง) ดังและชัด,ADJ
high-pitched,(เสียง) สูง,ADJ
raucous,(เสียง) ห้าว,ADJ
open-neck,(เสื้อ) ซึ่งไม่มีเนคไทและไม่ติดกระดุมบน,ADJ
open-necked,(เสื้อ) ซึ่งไม่มีเนคไทและไม่ติดกระดุมบน,ADJ
skintight,(เสื้อผ้า) ซึ่งใส่รัดตัว,ADJ
rimless,(แว่นตา) ที่ไม่มีขอบ,ADJ
whole-hog,(แสดงความเห็นหรือความเชื่อ) เต็มที่,ADJ
whole-hogging,(แสดงความเห็นหรือความเชื่อ) เต็มที่,ADJ
univalent,(โครโมโซม) เดี่ยว,ADJ
mild,(โทษ) เบา,ADJ
glassy,(ใส) เหมือนแก้ว,ADJ
hard-boiled,(ไข่) ที่ต้มจนแข็ง,ADJ
white,(ไวน์) ซึ่งทำจากองุ่นขาว,ADJ
rancid,(กลิ่นหรือรส)บูด,ADJ
backstreet,(การทำผิดกฎหมาย) ที่เกิดขึ้นในที่ลับ,ADJ
bandy,(ขา) โค้งออกด้านนอก,ADJ
lame,(ขา) พิการ,ADJ
heavy,(คน) ซึ่งตัวใหญ่ ช้า และซุ่มซ่าม,ADJ
hick,(คน) บ้านนอก (คำไม่เป็นทางการ),ADJ
dapper,(คนที่) รูปร่างเล็กผอมและแต่งตัวดี,ADJ
blind,(ความเชื่อ; การกระทำ) ที่ขาดเหตุผล,ADJ
salty,(คารม) คมคาย,ADJ
open-ended,(คำถาม) ที่ต้องการคำตอบที่เปิดกว้าง,ADJ
acid,(คำพูด) ที่แหลมคม,ADJ
heavy,(งาน) ยาก,ADJ
bad,(งาน; การกระทำ) ไม่เป็นที่น่าพอใจ,ADJ
even,(จำนวน) เท่ากัน,ADJ
tender,(จิตใจ) เปราะบาง,ADJ
petty,(ชนชั้น) ต่ำ,ADJ
butch,(ชาย) ที่ตัวใหญ่และก้าวร้าว,ADJ
burly,(ชาย) ร่างใหญ่ แข็งแรงและหนัก,ADJ
backless,(ชุด) ที่ไม่มีผ้าด้านหลัง (ของสตรี),ADJ
allegro,(ดนตรี) ซึ่งมีจังหวะที่สั่นและเร็ว,ADJ
barbed,(ตะขอหรือลูกศร) ที่มีเงี่ยงโค้งออก,ADJ
vacant,(ตำแหน่ง) ว่าง,ADJ
supporting,(นักแสดง) ซึ่งเป็นตัวประกอบ,ADJ
briny,(น้ำ) มีเกลือมาก,ADJ
tart,(ปาก) จัด,ADJ
grizzle,(ผม) ขาว,ADJ
bobbed,(ผม) ทรงบ็อบ,ADJ
bouffant,(ผม) ทรงบาน,ADJ
grizzled,(ผม) หงอก,ADJ
mature,(ผลไม้) สุก,ADJ
dandy,(ผู้ชาย) ซึ่งสำรวย,ADJ
bosomy,(ผู้หญิง) หน้าอกใหญ่,ADJ
renewable,(พลังงาน) ที่ไม่มีวันหมด,ADJ
muticate,(พืช) ที่ไม่มีหนาม,ADJ
hirsute,(พืช) ที่มีขน (ทางพฤกษศาสตร์),ADJ
diffuse,(พูดหรือเขียน) เยิ่นเย้อ,ADJ
high,(ภูเขา; ตึก) สูง,ADJ
roadworthy,(รถยนต์) ปลอดภัยสำหรับการขับขี่,ADJ
poignant,(รส; กลิ่น) ฉุน,ADJ
far,(ระยะเวลา) ห่างไกล,ADJ
far,(ระยะทาง) ไกล,ADJ
bicameral,(รัฐสภา) ซึ่งมีสองส่วน,ADJ
inexpensive,(ราคา) ย่อมเยา,ADJ
reasonable,(ราคา) สมเหตุสมผล,ADJ
knock-down,(ราคา)ต่ำ,ADJ
equiangular,(รูปทรงเรขาคณิต) ซึ่งมีมุมเท่ากันทุกมุม,ADJ
wiry,(รูปร่าง) ผอมบางแต่แข็งแรง,ADJ
embowed,(ลักษณะ) โค้งงอ,ADJ
white,(ลักษณะ) ที่สะอาดบริสุทธ์,ADJ
